City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Punta Arenas,CL,55.51,clear sky,-53.15,-70.9167,Hotel Hain
2,Hamilton,US,73.63,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
3,Lagoa,PT,70.56,overcast clouds,39.05,-27.9833,Casa Das Faias
6,Hithadhoo,MV,82.33,overcast clouds,-0.6,73.0833,Scoop Guest House
7,Hasaki,JP,80.22,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
8,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
9,Hobart,AU,40.26,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
10,Dingle,PH,76.26,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
12,Jamestown,US,61.05,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
13,Susanville,US,79.81,clear sky,40.4163,-120.653,Comfort Inn & Suites
14,Chinhoyi,ZW,73.67,clear sky,-17.3667,30.2,Msasa Guest House Chinhoyi (Wendy Shaw)
15,Bethel,US,53.69,mist,41.3712,-73.414,Courtyard by Marriott Danbury
18,Rikitea,PF,69.57,broken clouds,-23.1203,-134.9692,People ThankYou
22,Hermanus,ZA,48.79,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
23,Makakilo City,US,81.99,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
24,Christiansburg,US,61.95,broken clouds,37.1298,-80.4089,Hampton Inn Christiansburg/Blacksburg
26,Kapaa,US,81.1,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
28,Puerto Ayora,EC,78.76,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
29,Port Elizabeth,ZA,57.31,clear sky,-33.918,25.5701,39 On Nile Guest House
32,Atuona,PF,76.39,few clouds,-9.8,-139.0333,Villa Enata
33,Bluff,NZ,41.74,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
34,Kavieng,PG,82.65,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
38,Busselton,AU,56.66,overcast clouds,-33.65,115.3333,Observatory Guest House
39,Severo-Kurilsk,RU,52.21,light rain,50.6789,156.125,Kak Doma
42,Thompson,CA,57.36,broken clouds,55.7435,-97.8558,Burntwood Hotel
44,Wukari,NG,77.0,broken clouds,7.85,9.7833,Elimtop
45,Mar Del Plata,AR,59.95,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
46,Ushuaia,AR,56.86,few clouds,-54.8,-68.3,Albatross Hotel
47,Cap-Aux-Meules,CA,57.25,few clouds,47.3821,-61.8597,Château Madelinot
48,Machico,PT,74.71,few clouds,32.7,-16.7667,Dom Pedro Madeira Hotel
49,San Patricio,US,84.92,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
50,Kimbe,PG,75.33,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
51,Marsh Harbour,BS,81.16,clear sky,26.5412,-77.0636,Abaco Beach Resort
52,Butaritari,KI,81.27,few clouds,3.0707,172.7902,Isles Sunset Lodge
53,Port Hardy,CA,51.98,mist,50.6996,-127.4199,Airport Inn-Port Hardy
56,Sibolga,ID,73.69,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
57,Mucuri,BR,78.55,moderate rain,-18.0864,-39.5508,La Bodeguita Pousada
58,Fairbanks,US,49.82,clear sky,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
59,Bambous Virieux,MU,72.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
60,Souillac,MU,71.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
61,Hounde,BF,74.23,heavy intensity rain,11.5,-3.5167,Carrefour où ouvriers dorment
63,Port Alfred,ZA,59.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
64,Grand Forks,US,71.33,clear sky,47.9417,-97.4337,Warrior Inn
65,Nemuro,JP,54.61,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
66,Kodiak,US,53.11,moderate rain,57.79,-152.4072,Best Western Kodiak Inn
67,Kavaratti,IN,81.32,overcast clouds,10.5669,72.642,Green leaf
68,Pangnirtung,CA,41.0,overcast clouds,66.1451,-65.7125,Kilabuk Lodge
69,Mongo,TD,78.84,few clouds,12.1844,18.693,Résidences du Programme FIDA
