City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nuuk,GL,64.1835,-51.7216,34.41,86,75,11.5,broken clouds
1,Punta Arenas,CL,-53.15,-70.9167,55.51,50,0,23.02,clear sky
2,Hamilton,US,39.1834,-84.5333,73.63,34,0,4.61,clear sky
3,Lagoa,PT,39.05,-27.9833,70.56,83,99,16.4,overcast clouds
4,Solnechnyy,RU,50.7214,136.6319,28.53,77,77,3.51,broken clouds
5,Norman Wells,CA,65.282,-126.8329,37.44,87,75,16.11,broken clouds
6,Hithadhoo,MV,-0.6,73.0833,82.33,70,100,16.91,overcast clouds
7,Hasaki,JP,35.7333,140.8333,80.22,84,91,12.37,overcast clouds
8,Vaini,TO,-21.2,-175.2,77.16,88,40,3.44,scattered clouds
9,Hobart,AU,-42.8794,147.3294,40.26,91,75,6.91,broken clouds
10,Dingle,PH,10.9995,122.6711,76.26,90,100,5.14,overcast clouds
11,Khatanga,RU,71.9667,102.5,22.77,97,100,6.2,light snow
12,Jamestown,US,42.097,-79.2353,61.05,32,0,10.36,clear sky
13,Susanville,US,40.4163,-120.653,79.81,24,0,7.0,clear sky
14,Chinhoyi,ZW,-17.3667,30.2,73.67,33,0,5.3,clear sky
15,Bethel,US,41.3712,-73.414,53.69,87,100,8.05,mist
16,Nanortalik,GL,60.1432,-45.2371,36.46,96,100,14.74,moderate rain
17,Luderitz,NA,-26.6481,15.1594,57.22,73,0,16.96,clear sky
18,Rikitea,PF,-23.1203,-134.9692,69.57,63,78,25.12,broken clouds
19,Saskylakh,RU,71.9167,114.0833,22.23,96,100,4.14,light snow
20,Airai,TL,-8.9266,125.4092,61.41,87,99,1.54,overcast clouds
21,Qaanaaq,GL,77.484,-69.3632,17.96,77,99,4.05,overcast clouds
22,Hermanus,ZA,-34.4187,19.2345,48.79,68,0,1.5,clear sky
23,Makakilo City,US,21.3469,-158.0858,81.99,68,75,11.5,broken clouds
24,Christiansburg,US,37.1298,-80.4089,61.95,45,75,5.75,broken clouds
25,Avera,US,33.194,-82.5271,76.51,33,0,5.84,clear sky
26,Kapaa,US,22.0752,-159.319,81.1,76,75,14.97,broken clouds
27,Omsukchan,RU,62.5333,155.8,12.87,96,100,13.76,snow
28,Puerto Ayora,EC,-0.7393,-90.3518,78.76,87,81,8.99,broken clouds
